title,author,genre,description,image
To Kill a Mockingbird,Harper Lee,Classic,A story of racial injustice and childhood in the Deep South of the United States.,https://covers.openlibrary.org/b/id/8225261-L.jpg
1984,George Orwell,Dystopian,A dystopian novel depicting a totalitarian future society under constant surveillance.,https://covers.openlibrary.org/b/id/7222246-L.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young boy discovers he is a wizard and attends Hogwarts School of Witchcraft and Wizardry.,https://covers.openlibrary.org/b/id/7984916-L.jpg
Pride and Prejudice,Jane Austen,Romance,"A classic novel exploring manners, marriage, and morality in 19th century England.",https://covers.openlibrary.org/b/id/8228781-L.jpg
The Great Gatsby,F. Scott Fitzgerald,Classic,A critique of the American Dream set in the Jazz Age of the 1920s.,https://covers.openlibrary.org/b/id/7222161-L.jpg
The Hobbit,J.R.R. Tolkien,Fantasy,A fantasy novel about a hobbit's adventurous journey through Middle-earth.,https://covers.openlibrary.org/b/id/6979861-L.jpg
The Catcher in the Rye,J.D. Salinger,Classic,A story about teenage angst and alienation.,https://covers.openlibrary.org/b/id/8231856-L.jpg
The Da Vinci Code,Dan Brown,Thriller,A symbologist unravels a conspiracy related to the Holy Grail.,https://covers.openlibrary.org/b/id/240726-L.jpg
Angels & Demons,Dan Brown,Thriller,A thriller involving secret societies and a threat to the Vatican.,https://covers.openlibrary.org/b/id/8328691-L.jpg
The Fault in Our Stars,John Green,Romance,A touching story of teenage love and loss.,https://covers.openlibrary.org/b/id/7769256-L.jpg
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-Fiction,An exploration of the history and impact of Homo sapiens on the world.,https://covers.openlibrary.org/b/id/8100921-L.jpg
Educated,Tara Westover,Non-Fiction,A memoir about a woman who grows up in a strict family and seeks education against all odds.,https://covers.openlibrary.org/b/id/8231850-L.jpg
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,A journalist and a hacker investigate a disappearance tied to dark family secrets.,https://covers.openlibrary.org/b/id/8231821-L.jpg
The Hunger Games,Suzanne Collins,Dystopian,A girl fights for survival in a televised death match in a dystopian future.,https://covers.openlibrary.org/b/id/7222241-L.jpg
Gone Girl,Gillian Flynn,Thriller,A psychological thriller about a marriage gone terribly wrong.,https://covers.openlibrary.org/b/id/8228696-L.jpg
Memoirs of a Geisha,Arthur Golden,Historical Fiction,A story of a young girl's journey to becoming a famous geisha in Japan.,https://covers.openlibrary.org/b/id/8224251-L.jpg
Moby Dick,Herman Melville,Classic,A captain obsessively hunts a giant white whale.,https://covers.openlibrary.org/b/id/8231823-L.jpg
The Alchemist,Paulo Coelho,Fiction,A shepherd's journey to find his personal legend and treasure.,https://covers.openlibrary.org/b/id/8376781-L.jpg
Frankenstein,Mary Shelley,Horror,A scientist creates a living being with unintended consequences.,https://covers.openlibrary.org/b/id/8231829-L.jpg
The Shining,Stephen King,Horror,A family trapped in a haunted hotel descends into madness.,https://covers.openlibrary.org/b/id/8231854-L.jpg
Little Women,Louisa May Alcott,Classic,The lives and struggles of four sisters during the American Civil War.,https://covers.openlibrary.org/b/id/8225634-L.jpg
Dracula,Bram Stoker,Horror,A gothic novel about the infamous vampire Count Dracula.,https://covers.openlibrary.org/b/id/8231865-L.jpg
The Road,Cormac McCarthy,Dystopian,A post-apocalyptic journey of a father and son.,https://covers.openlibrary.org/b/id/8231827-L.jpg
The Kite Runner,Khaled Hosseini,Fiction,A story of friendship and redemption in Afghanistan.,https://covers.openlibrary.org/b/id/8225264-L.jpg
The Book Thief,Markus Zusak,Historical Fiction,A young girl steals books during WWII in Nazi Germany.,https://covers.openlibrary.org/b/id/8231831-L.jpg
Brave New World,Aldous Huxley,Dystopian,A futuristic society controlled by technology and conditioning.,https://covers.openlibrary.org/b/id/7222247-L.jpg
The Chronicles of Narnia,C.S. Lewis,Fantasy,Children discover a magical world through a wardrobe.,https://covers.openlibrary.org/b/id/7984919-L.jpg
The Fault in Our Stars,John Green,Romance,Two teenagers with cancer fall in love and face life's challenges.,https://covers.openlibrary.org/b/id/7769256-L.jpg
Jane Eyre,Charlotte Brontë,Classic,An orphaned girl becomes a governess and finds love with mystery.,https://covers.openlibrary.org/b/id/8228784-L.jpg
Animal Farm,George Orwell,Dystopian,An allegorical novella about a farm revolution and totalitarianism.,https://covers.openlibrary.org/b/id/8231852-L.jpg
The Catcher in the Rye,J.D. Salinger,Classic,A coming-of-age story about teenage alienation and rebellion.,https://covers.openlibrary.org/b/id/8231856-L.jpg
Wuthering Heights,Emily Brontë,Classic,A tale of passionate but doomed love on the Yorkshire moors.,https://covers.openlibrary.org/b/id/8228773-L.jpg
The Odyssey,Homer,Classic,The epic journey of Odysseus returning home from the Trojan War.,https://covers.openlibrary.org/b/id/8231828-L.jpg
Fahrenheit 451,Ray Bradbury,Dystopian,A future where books are banned and 'firemen' burn them.,https://covers.openlibrary.org/b/id/8225263-L.jpg
The Secret Garden,Frances Hodgson Burnett,Classic,"A lonely girl discovers a hidden, magical garden.",https://covers.openlibrary.org/b/id/8231824-L.jpg
Les Misérables,Victor Hugo,Classic,"A sweeping story of justice, love, and redemption in France.",https://covers.openlibrary.org/b/id/8231846-L.jpg
The Girl on the Train,Paula Hawkins,Thriller,A woman gets caught in a missing persons investigation.,https://covers.openlibrary.org/b/id/8231839-L.jpg
Life of Pi,Yann Martel,Fiction,A boy survives a shipwreck stranded on a lifeboat with a tiger.,https://covers.openlibrary.org/b/id/8231837-L.jpg
The Handmaid's Tale,Margaret Atwood,Dystopian,A woman struggles under a totalitarian regime where women are oppressed.,https://covers.openlibrary.org/b/id/8231840-L.jpg
A Game of Thrones,George R.R. Martin,Fantasy,Noble families vie for the Iron Throne in a medieval fantasy world.,https://covers.openlibrary.org/b/id/8231842-L.jpg
The Count of Monte Cristo,Alexandre Dumas,Classic,A man seeks revenge after being wrongfully imprisoned.,https://covers.openlibrary.org/b/id/8231844-L.jpg
Gone with the Wind,Margaret Mitchell,Classic,A tale of love and survival during the American Civil War.,https://covers.openlibrary.org/b/id/8231843-L.jpg
The Hunger Games,Suzanne Collins,Dystopian,A girl fights for survival in a televised death match in a dystopian future.,https://covers.openlibrary.org/b/id/7222241-L.jpg
Ender's Game,Orson Scott Card,Sci-Fi,A gifted child is trained to save humanity from alien threat.,https://covers.openlibrary.org/b/id/8231845-L.jpg
The Martian,Andy Weir,Sci-Fi,An astronaut stranded on Mars fights for survival and rescue.,https://covers.openlibrary.org/b/id/8231847-L.jpg
The Lovely Bones,Alice Sebold,Fiction,A murdered girl watches her family from the afterlife.,https://covers.openlibrary.org/b/id/8231848-L.jpg
The Time Traveler's Wife,Audrey Niffenegger,Romance,A love story complicated by time travel.,https://covers.openlibrary.org/b/id/8231849-L.jpg
The Silence of the Lambs,Thomas Harris,Thriller,An FBI trainee seeks help from a cannibalistic serial killer.,https://covers.openlibrary.org/b/id/8231851-L.jpg
The Color Purple,Alice Walker,Classic,An African American woman's struggles in the early 20th century South.,https://covers.openlibrary.org/b/id/8231853-L.jpg
The Help,Kathryn Stockett,Fiction,African American maids share their stories of life in 1960s Mississippi.,https://covers.openlibrary.org/b/id/8231855-L.jpg
The Secret, Rhonda Byrne,Self-Help,A book about the law of attraction and positive thinking.,https://covers.openlibrary.org/b/id/8231857-L.jpg
The Art of War,Sun Tzu,Non-Fiction,Ancient Chinese military strategy and tactics.,https://covers.openlibrary.org/b/id/8231858-L.jpg
Thinking Fast and Slow,Daniel Kahneman,Non-Fiction,A deep dive into human decision making and cognitive biases.,https://covers.openlibrary.org/b/id/8231859-L.jpg
The Power of Habit,Charles Duhigg,Non-Fiction,Explores the science behind habit formation and change.,https://covers.openlibrary.org/b/id/8231860-L.jpg
Quiet, Susan Cain,Non-Fiction,The power of introverts in a world that can't stop talking.,https://covers.openlibrary.org/b/id/8231861-L.jpg
Blink, Malcolm Gladwell,Non-Fiction,How we think without thinking.,https://covers.openlibrary.org/b/id/8231862-L.jpg
Outliers, Malcolm Gladwell,Non-Fiction,What makes high-achievers different.,https://covers.openlibrary.org/b/id/8231863-L.jpg
Dune,Frank Herbert,Sci-Fi,A desert planet is the center of a galactic conflict over a valuable spice.,https://covers.openlibrary.org/b/id/8231864-L.jpg
Neuromancer,William Gibson,Sci-Fi,A cyberpunk story about hackers in a dystopian future.,https://covers.openlibrary.org/b/id/8231866-L.jpg
Snow Crash,Neal Stephenson,Sci-Fi,A fast-paced cyberpunk novel about a computer virus affecting reality.,https://covers.openlibrary.org/b/id/8231867-L.jpg
Foundation,Isaac Asimov,Sci-Fi,A scientist tries to preserve knowledge to save civilization.,https://covers.openlibrary.org/b/id/8231868-L.jpg
The Wheel of Time,Robert Jordan,Fantasy,An epic fantasy series about the battle between light and darkness.,https://covers.openlibrary.org/b/id/8231869-L.jpg
Mistborn,Brandon Sanderson,Fantasy,A story of a heist to overthrow a dark lord with magical powers.,https://covers.openlibrary.org/b/id/8231870-L.jpg
The Name of the Wind,Patrick Rothfuss,Fantasy,A gifted young man tells his life story and how he became a legendary wizard.,https://covers.openlibrary.org/b/id/8231871-L.jpg
The Lies of Locke Lamora,Scott Lynch,Fantasy,A tale of a group of con artists in a fantasy city.,https://covers.openlibrary.org/b/id/8231872-L.jpg
American Gods,Neil Gaiman,Fantasy,Old gods and new gods battle for influence in modern America.,https://covers.openlibrary.org/b/id/8231873-L.jpg
Coraline,Neil Gaiman,Fiction,A girl discovers an alternate world behind a secret door.,https://covers.openlibrary.org/b/id/8231874-L.jpg
The Road,Cormac McCarthy,Dystopian,A father and son's journey through a post-apocalyptic world.,https://covers.openlibrary.org/b/id/8231827-L.jpg
Blood Meridian,Cormac McCarthy,Western,A brutal tale of violence on the Texas-Mexico border.,https://covers.openlibrary.org/b/id/8231875-L.jpg
The Stand,Stephen King,Horror,A post-apocalyptic struggle between good and evil.,https://covers.openlibrary.org/b/id/8231876-L.jpg
It,Stephen King,Horror,A group of kids face an ancient evil in their town.,https://covers.openlibrary.org/b/id/8231877-L.jpg
Carrie,Stephen King,Horror,A bullied girl discovers telekinetic powers.,https://covers.openlibrary.org/b/id/8231878-L.jpg
Misery,Stephen King,Thriller,An author is held captive by an obsessed fan.,https://covers.openlibrary.org/b/id/8231879-L.jpg
The Silence of the Lambs,Thomas Harris,Thriller,An FBI trainee seeks help from a cannibalistic serial killer.,https://covers.openlibrary.org/b/id/8231851-L.jpg
Sherlock Holmes: The Complete Novels and Stories,Arthur Conan Doyle,Mystery,The famous detective solves complex cases in Victorian England.,https://covers.openlibrary.org/b/id/8231880-L.jpg
And Then There Were None,Agatha Christie,Mystery,Ten strangers are invited to an island and murdered one by one.,https://covers.openlibrary.org/b/id/8231881-L.jpg
Murder on the Orient Express,Agatha Christie,Mystery,Detective Hercule Poirot investigates a murder on a train.,https://covers.openlibrary.org/b/id/8231882-L.jpg
The Maltese Falcon,Dashiell Hammett,Mystery,A private detective investigates a valuable statuette.,https://covers.openlibrary.org/b/id/8231883-L.jpg
The Big Sleep,Raymond Chandler,Mystery,A private eye is hired for a complicated case involving a wealthy family.,https://covers.openlibrary.org/b/id/8231884-L.jpg
The Secret History,Donna Tartt,Thriller,A group of college students are involved in a murder.,https://covers.openlibrary.org/b/id/8231885-L.jpg
Gone with the Wind,Margaret Mitchell,Classic,A tale of love and survival during the American Civil War.,https://covers.openlibrary.org/b/id/8231843-L.jpg
The Pillars of the Earth,Ken Follett,Historical Fiction,The building of a cathedral in medieval England affects many lives.,https://covers.openlibrary.org/b/id/8231886-L.jpg
Wolf Hall,Hilary Mantel,Historical Fiction,The story of Thomas Cromwell's rise in the court of Henry VIII.,https://covers.openlibrary.org/b/id/8231887-L.jpg
All the Light We Cannot See,Anthony Doerr,Historical Fiction,The story of a blind French girl and a German boy during WWII.,https://covers.openlibrary.org/b/id/8231888-L.jpg
The Nightingale,Kristin Hannah,Historical Fiction,Two sisters' survival in Nazi-occupied France.,https://covers.openlibrary.org/b/id/8231889-L.jpg
The Book Thief,Markus Zusak,Historical Fiction,A young girl steals books during WWII in Nazi Germany.,https://covers.openlibrary.org/b/id/8231831-L.jpg
Circe,Madeline Miller,Fantasy,The story of the mythological witch Circe and her life among gods and mortals.,https://covers.openlibrary.org/b/id/8231890-L.jpg
The Song of Achilles,Madeline Miller,Fantasy,A retelling of the Iliad from Patroclus's perspective.,https://covers.openlibrary.org/b/id/8231891-L.jpg
The Ocean at the End of the Lane,Neil Gaiman,Fiction,A man recalls mysterious childhood events involving magic and danger.,https://covers.openlibrary.org/b/id/8231892-L.jpg
Never Let Me Go,Kazuo Ishiguro,Dystopian,A story about clones growing up in a dystopian society.,https://covers.openlibrary.org/b/id/8231893-L.jpg
The Goldfinch,Donna Tartt,Fiction,A boy's life is changed after surviving a tragic accident.,https://covers.openlibrary.org/b/id/8231894-L.jpg
The Wind-Up Bird Chronicle,Haruki Murakami,Fiction,A surreal mystery involving a missing wife and strange events.,https://covers.openlibrary.org/b/id/8231895-L.jpg
Kafka on the Shore,Haruki Murakami,Fiction,Two parallel narratives involving a runaway teenager and an elderly man.,https://covers.openlibrary.org/b/id/8231896-L.jpg
Norwegian Wood,Haruki Murakami,Romance,A nostalgic story of loss and love in 1960s Tokyo.,https://covers.openlibrary.org/b/id/8231897-L.jpg
The Catcher Was a Spy,Nicholas Dawidoff,Biography,The life of a WWII spy who was also a professional baseball player.,https://covers.openlibrary.org/b/id/8231898-L.jpg
Steve Jobs,Walter Isaacson,Biography,The authorized biography of Apple co-founder Steve Jobs.,https://covers.openlibrary.org/b/id/8231899-L.jpg
Becoming,Michelle Obama,Biography,Memoir of the former First Lady of the United States.,https://covers.openlibrary.org/b/id/8231900-L.jpg
Long Walk to Freedom,Nelson Mandela,Biography,The autobiography of the South African anti-apartheid revolutionary.,https://covers.openlibrary.org/b/id/8231901-L.jpg
Into the Wild,Jon Krakauer,Biography,The story of a young man who leaves society to live in the Alaskan wilderness.,https://covers.openlibrary.org/b/id/8231902-L.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Biography,The story of the woman behind HeLa cells and medical ethics.,https://covers.openlibrary.org/b/id/8231903-L.jpg
The Girl with the Louding Voice,Abi Daré,Fiction,A Nigerian girl fights for education and empowerment.,https://covers.openlibrary.org/b/id/8231904-L.jpg
Educated,Tara Westover,Non-Fiction,A memoir about a woman who grows up in a strict family and seeks education against all odds.,https://covers.openlibrary.org/b/id/8231850-L.jpg
Born a Crime,Trevor Noah,Non-Fiction,A memoir of growing up in apartheid South Africa.,https://covers.openlibrary.org/b/id/8231850-L.jpg
